age,ARPU,best_action,rewards
35,72.93384121032348,1,[0 0 0]
35,74.15072214621674,1,[0 0 0]
36,72.78467516761614,1,[ 0 25  0]
35,73.98351848894596,1,[0 0 0]
34,71.8299164668181,1,[0 0 0]
34,117.59313714709496,0,[10  0  0]
49,27.36991758659721,2,[0 0 0]
49,34.581078562848596,2,[0 0 0]
35,74.57114027372717,1,[ 0 25  0]
34,73.79588264332943,1,[10  0  0]
35,75.94810297983167,1,[0 0 0]
32,79.4298541901829,1,[0 0 0]
23,125.83159638338832,0,[10  0  0]
39,74.53122498813745,1,[ 0 25  0]
33,68.12626652178395,2,[0 0 0]
35,80.54518264518573,1,[ 0 25  0]
31,117.94356941483039,0,[10  0  0]
44,23.78760722050345,2,[0 0 0]
30,123.98385224131273,0,[10 25  0]
40,31.08424888842407,2,[0 0 0]
38,72.22574904724321,1,[0 0 0]
25,129.10566411565674,0,[10  0  0]
23,129.6147877199638,0,[10  0  0]
44,23.707134316611647,2,[0 0 0]
49,30.802432810192048,2,[0 0 0]
33,72.166556965264,1,[ 0 25  0]
38,76.35615877405311,1,[0 0 0]
22,128.8841840848861,0,[10  0  0]
47,23.707233172314012,2,[10  0  0]
37,70.96127751263381,1,[ 0 25  0]
24,124.30587921525569,0,[0 0 0]
48,33.36375955572644,2,[0 0 0]
48,30.628917089885746,2,[0 0 0]
24,127.81255569023959,0,[10  0  0]
47,26.891727102721394,2,[10  0  0]
35,45.75623062011231,2,[0 0 0]
43,30.05570427968107,2,[  0   0 100]
54,52.97970579745531,2,[  0   0 100]
52,42.25457638183555,2,[  0  25 100]
41,20.62696154191283,2,[0 0 0]
40,35.37758387756493,2,[0 0 0]
42,28.049806476986063,2,[0 0 0]
39,43.666775577645424,2,[0 0 0]
36,76.11173425336322,1,[ 0 25  0]
20,127.12040246173314,0,[10  0  0]
35,69.56221320821288,1,[0 0 0]
36,72.52290777259368,1,[0 0 0]
37,79.26633022665544,1,[ 0 25  0]
34,81.07568414833882,1,[ 0 25  0]
27,123.18177466769592,0,[10  0  0]
34,71.62612606098216,1,[ 0 25  0]
35,80.78102643747104,1,[0 0 0]
37,68.8601566754955,1,[ 0 25  0]
25,128.3517552790414,0,[10  0  0]
23,127.95533993412796,0,[10  0  0]
27,121.2238005898596,0,[10  0  0]
37,70.87527772219241,1,[0 0 0]
34,76.17076364566783,1,[0 0 0]
35,68.34181870469541,1,[ 0 25  0]
27,125.03825941759118,0,[10  0  0]
23,126.18313983370864,0,[10  0  0]
38,72.73851291110888,1,[ 0 25  0]
43,25.18401862596157,2,[0 0 0]
24,125.79881985470497,0,[10  0  0]
38,42.68570334374901,2,[0 0 0]
35,71.75085820287663,1,[10 25  0]
21,129.13882897943324,0,[10 25  0]
53,43.00728370908494,2,[0 0 0]
37,76.18968241590741,1,[ 0 25  0]
27,121.47983977544396,0,[10  0  0]
33,75.83151475830054,1,[0 0 0]
32,121.49803772487388,0,[10  0  0]
26,120.60061526442351,0,[10  0  0]
43,30.950583858919646,2,[0 0 0]
40,73.52193421479376,1,[0 0 0]
44,23.123344765214913,2,[ 0 25  0]
31,122.08519684606159,0,[10  0  0]
31,76.35297630169745,2,[ 10   0 100]
36,72.90993683367972,1,[ 0 25  0]
43,29.52282624488077,2,[0 0 0]
33,124.48268171353438,0,[10  0  0]
51,38.15427304000917,2,[  0   0 100]
52,36.630167064982416,2,[0 0 0]
26,128.51023614851832,0,[10  0  0]
30,120.32425102300117,0,[10  0  0]
36,72.42742358074848,1,[ 0 25  0]
58,68.82542848075192,2,[0 0 0]
38,77.43188956562882,1,[ 0 25  0]
32,68.91301828133558,2,[0 0 0]
35,74.06807637085376,1,[ 0 25  0]
28,121.87280986138265,0,[10  0  0]
39,26.938606653549446,2,[0 0 0]
52,37.810473168043025,2,[0 0 0]
38,114.9016258632718,0,[10  0  0]
31,121.80682774499243,0,[10  0  0]
30,128.0157705659875,0,[10  0  0]
54,38.87164007474823,2,[0 0 0]
40,76.24273121622736,1,[  0  25 100]
26,129.59449894763398,0,[10  0  0]
40,28.23248497814745,2,[  0   0 100]
44,27.752404965354778,2,[0 0 0]
36,75.92533281300965,1,[ 0 25  0]
33,52.643066132316974,2,[0 0 0]
31,77.07341726441459,1,[ 0 25  0]
35,72.73799040296656,1,[0 0 0]
24,125.59698571700059,0,[0 0 0]
27,122.45513079950044,0,[10  0  0]
26,121.20143542275224,0,[10  0  0]
27,120.08914817951752,0,[10  0  0]
33,75.50594847773084,1,[0 0 0]
25,126.48412998517216,0,[10 25  0]
39,37.154897387374774,2,[0 0 0]
35,81.75899192749159,1,[0 0 0]
33,76.2999943772175,1,[0 0 0]
26,126.0052577283939,0,[10  0  0]
37,77.54882785910856,1,[10 25  0]
36,74.84810601295315,1,[10  0  0]
26,122.92381070660771,0,[10  0  0]
44,26.58002877566919,2,[0 0 0]
20,121.2484796436886,0,[10  0  0]
26,127.49761658490308,0,[10  0  0]
35,77.0568311923357,1,[0 0 0]
26,127.57813550281591,0,[10  0  0]
47,22.39440743297954,2,[0 0 0]
33,79.52349618998443,1,[ 0 25  0]
38,69.69789123110644,1,[ 0 25  0]
24,130.59765584924276,0,[10  0  0]
35,74.94710477539788,1,[0 0 0]
29,129.97236585411383,0,[10  0  0]
46,22.03824993695092,2,[10  0  0]
44,22.277602266030264,2,[0 0 0]
39,74.2435195918365,1,[0 0 0]
36,76.71104240987145,1,[ 0 25  0]
53,39.16699672474052,2,[0 0 0]
44,25.716986192240807,2,[0 0 0]
32,73.54462273149558,1,[0 0 0]
33,72.39674235719939,1,[10 25  0]
33,70.38061346718655,1,[ 0 25  0]
29,121.24063367709192,0,[ 10   0 100]
29,123.83796242790574,0,[10 25  0]
34,79.34977021517284,1,[0 0 0]
42,25.720339676157053,2,[ 0 25  0]
34,74.75969463150356,1,[0 0 0]
35,71.75879284747748,1,[0 0 0]
45,27.743039226575466,2,[  0   0 100]
43,24.56136089256857,2,[0 0 0]
43,22.813539178338342,2,[0 0 0]
47,26.220746892855317,2,[0 0 0]
38,103.23260667006299,0,[0 0 0]
22,125.31376852130256,0,[10  0  0]
35,73.54878265246892,1,[0 0 0]
33,123.58825113064586,0,[10  0  0]
46,26.571379314529022,2,[  0   0 100]
24,127.32476013459971,0,[10  0  0]
48,33.22710606241652,2,[0 0 0]
41,25.87388571829195,2,[0 0 0]
31,115.11778487841553,0,[10 25  0]
35,73.21777180185015,1,[0 0 0]
51,30.97261556951882,2,[0 0 0]
21,126.30555849272584,0,[10  0  0]
31,71.16037651816022,1,[ 0 25  0]
34,78.26882392826543,1,[ 0 25  0]
45,31.110162898807737,2,[0 0 0]
34,72.36552136899762,1,[ 0 25  0]
27,126.6364070762555,0,[10 25  0]
47,29.080483498512258,2,[0 0 0]
36,75.94701943998648,1,[0 0 0]
24,119.20954170486061,0,[10  0  0]
31,119.19328726551151,0,[10  0  0]
47,28.54402312076362,2,[0 0 0]
35,77.37996384164498,1,[0 0 0]
35,69.92600653057775,1,[10 25  0]
36,42.114372234485984,2,[0 0 0]
33,67.23358652108519,1,[ 0 25  0]
39,32.20798822978253,2,[10  0  0]
36,70.93306229178846,1,[  0  25 100]
46,30.749584165501975,2,[10  0  0]
34,77.55086005549323,1,[0 0 0]
31,82.0850890761803,2,[  0   0 100]
28,116.26403820192233,0,[10  0  0]
29,125.46004732763573,0,[10  0  0]
41,26.586567068239297,2,[0 0 0]
33,77.07491831403917,1,[0 0 0]
21,129.21217137909696,0,[10  0  0]
36,77.11814116364505,1,[0 0 0]
21,124.97890090169308,0,[10  0  0]
50,30.894862758828854,2,[  0   0 100]
36,73.41960145269736,1,[0 0 0]
46,31.728080161673976,2,[  0   0 100]
34,77.56438069873289,1,[ 0 25  0]
36,80.87187884002176,1,[ 0 25  0]
47,26.54728224346691,2,[  0   0 100]
32,75.00017095681365,1,[0 0 0]
49,26.406972280962567,2,[  0  25 100]
37,75.82617780038295,1,[ 0 25  0]
33,75.73180895065686,1,[0 0 0]
34,53.97645252409576,2,[0 0 0]
36,76.35410794553758,1,[0 0 0]
20,124.46507380721371,0,[10  0  0]
19,121.67506528655856,0,[10  0  0]
29,122.38756607559624,0,[10  0  0]
23,119.26688915930995,0,[10  0  0]
36,76.66465359184706,1,[0 0 0]
24,117.59091876225834,0,[10  0  0]
35,72.34069470497904,1,[ 0 25  0]
44,23.916629785565576,2,[0 0 0]
42,27.012079327804887,2,[0 0 0]
34,70.53457807155029,1,[ 0 25  0]
37,71.1485599784629,1,[0 0 0]
21,127.65472720921626,0,[10  0  0]
33,74.53478085482445,1,[10 25  0]
50,30.701199836463736,2,[0 0 0]
21,119.35341575049925,0,[10  0  0]
43,25.781634363505542,2,[0 0 0]
38,76.88947847204241,1,[ 0 25  0]
36,79.13996610636408,1,[0 0 0]
34,72.83439135227322,1,[10 25  0]
41,25.22582896875774,2,[ 10   0 100]
35,74.49672808137122,1,[0 0 0]
29,122.63536476882875,0,[10  0  0]
29,85.74010301253858,2,[0 0 0]
21,125.39403270777547,0,[10  0  0]
39,33.85724271064045,2,[0 0 0]
36,77.87641666440949,1,[0 0 0]
35,76.33002244425737,1,[  0  25 100]
42,32.848887894788604,2,[  0   0 100]
35,73.10271586711072,1,[ 0 25  0]
37,76.43627314998662,1,[ 0 25  0]
31,121.61950702234637,0,[10  0  0]
41,28.952300678041965,2,[ 10   0 100]
35,68.78461564571926,1,[0 0 0]
19,127.47874373934961,0,[10 25  0]
35,76.27143656946133,1,[0 0 0]
37,76.52837394538814,1,[0 0 0]
37,76.1417308596091,1,[ 0 25  0]
30,113.83794055945025,0,[10  0  0]
47,23.570624490774627,2,[0 0 0]
34,74.78753307593027,1,[0 0 0]
35,72.5167686307213,1,[0 0 0]
48,31.591265946920732,2,[0 0 0]
35,77.23160870271086,1,[ 0 25  0]
24,134.35162931490203,0,[10  0  0]
26,125.75272304743972,0,[10  0  0]
50,32.56000635301058,2,[0 0 0]
50,33.61273010313151,2,[0 0 0]
37,96.91562366507465,0,[0 0 0]
31,120.27361862788882,0,[10  0  0]
45,26.923947278941828,2,[0 0 0]
49,24.826149303596754,2,[  0   0 100]
54,48.54571827397591,2,[10  0  0]
18,122.91306888698917,0,[10  0  0]
47,23.068995176022746,2,[0 0 0]
23,133.94623857032946,0,[10  0  0]
27,119.50660477870625,0,[10  0  0]
34,79.62729965566886,1,[ 0 25  0]
53,44.378411823362605,2,[10  0  0]
40,28.969586800515476,2,[0 0 0]
37,35.72732343110131,2,[0 0 0]
34,76.4935921092516,1,[0 0 0]
28,118.78920799653483,0,[0 0 0]
47,23.034359479579017,2,[0 0 0]
48,23.809786370781037,2,[0 0 0]
26,132.80466853518064,0,[10  0  0]
26,126.91422198633585,0,[10 25  0]
33,74.24216955021366,1,[0 0 0]
35,76.91452471530383,1,[0 0 0]
20,125.28634858370718,0,[10  0  0]
32,115.41884356416237,0,[10  0  0]
19,121.02506032557345,0,[10 25  0]
34,77.77068069229028,1,[0 0 0]
29,125.1739546910031,0,[10  0  0]
38,77.95458599487453,1,[ 0 25  0]
33,82.47932101030784,1,[0 0 0]
21,121.30860591764588,0,[10  0  0]
46,26.129466531908843,2,[ 0 25  0]
41,35.14290174833559,2,[0 0 0]
57,56.513419708111336,2,[10  0  0]
20,127.31814693033124,0,[ 10   0 100]
33,72.59361626520575,1,[ 0 25  0]
49,32.03094040335045,2,[0 0 0]
54,44.622806322865486,2,[0 0 0]
54,42.895436991270394,2,[0 0 0]
31,120.60786468861421,0,[10  0  0]
28,126.16730008472875,0,[10 25  0]
33,70.61747794927773,1,[ 0 25  0]
36,77.95522805547402,1,[0 0 0]
22,124.78147308361791,0,[10  0  0]
26,123.95879165570761,0,[10  0  0]
35,75.6780301889538,1,[ 0 25  0]
49,34.49867643479446,2,[0 0 0]
22,129.86936556625818,0,[0 0 0]
35,77.49362790802444,1,[0 0 0]
35,74.4570720463655,1,[0 0 0]
28,129.55434751525232,0,[10  0  0]
22,123.47100639335147,0,[10  0  0]
39,79.67412380286343,1,[ 0 25  0]
20,115.4409465071767,0,[10  0  0]
27,118.42367605564614,0,[ 0 25  0]
35,78.95919277176891,1,[0 0 0]
34,72.68001611353453,1,[ 0 25  0]
48,24.18158065195874,2,[ 10   0 100]
33,76.79122309810828,1,[  0  25 100]
33,77.13460306428496,1,[ 0 25  0]
38,38.74657648957397,2,[0 0 0]
39,33.967435364412005,2,[10  0  0]
49,30.942363757511252,2,[ 0 25  0]
43,21.784834762305337,2,[ 10   0 100]
41,74.99762884890946,1,[ 0 25  0]
39,73.88489307278792,1,[ 0 25  0]
23,127.63929745070077,0,[10  0  0]
47,19.813031879663733,2,[0 0 0]
45,29.10274219116709,2,[0 0 0]
34,49.3146446160492,2,[0 0 0]
42,29.384413256788708,2,[0 0 0]
35,78.36495518136172,1,[ 0 25  0]
33,56.376356743368774,2,[0 0 0]
33,75.45433482388334,1,[0 0 0]
22,117.45566880344808,0,[10  0  0]
21,122.44855225223314,0,[10 25  0]
33,76.17551076467588,1,[0 0 0]
33,75.59583120206877,1,[10  0  0]
36,107.48915115719022,0,[10 25  0]
26,125.76380104054886,0,[0 0 0]
30,73.5841265589065,1,[ 0 25  0]
42,21.948737172133697,2,[0 0 0]
29,117.74307731009061,0,[10  0  0]
32,68.27407220699662,1,[10  0  0]
25,122.09287606519828,0,[10  0  0]
35,78.83564005078289,1,[ 0 25  0]
30,126.89969527506818,0,[10  0  0]
52,33.764636878729796,2,[0 0 0]
23,119.84619943346847,0,[10  0  0]
35,73.2923936830648,1,[  0   0 100]
18,120.32462961821597,0,[0 0 0]
23,123.41852132125175,0,[10  0  0]
32,78.84800984849112,1,[10  0  0]
26,124.26528987879247,0,[10  0  0]
37,77.5430622678331,1,[ 0 25  0]
24,123.0896364193685,0,[10  0  0]
34,72.24316863618702,1,[0 0 0]
27,123.23716909331776,0,[10  0  0]
29,124.56789195904746,0,[10  0  0]
34,74.9360285004623,1,[0 0 0]
31,79.41629344564332,1,[ 0 25  0]
47,24.106425175976636,2,[0 0 0]
42,34.37023241431557,2,[ 0 25  0]
35,71.27205917022776,1,[ 0 25  0]
52,38.24335825668823,2,[0 0 0]
45,24.487865285498323,2,[0 0 0]
35,111.94172400978606,0,[10  0  0]
51,35.3618667651306,2,[  0   0 100]
36,76.8570442518836,1,[ 0 25  0]
38,74.58098608662034,1,[0 0 0]
35,73.16217376641174,1,[10 25  0]
33,118.05496289643406,0,[10 25  0]
32,76.90747085890679,1,[ 0 25  0]
28,125.84715281637264,0,[0 0 0]
47,28.599264821671415,2,[0 0 0]
34,77.13350870417251,1,[ 0 25  0]
37,74.12491094767364,1,[0 0 0]
20,122.38668802540039,0,[10  0  0]
42,31.002775035100797,2,[0 0 0]
46,26.702397410177582,2,[0 0 0]
40,37.73464354358416,2,[0 0 0]
33,75.79792960223992,1,[ 0 25  0]
36,75.09950867527809,1,[0 0 0]
51,36.37209624430827,2,[0 0 0]
37,71.08825108788895,1,[ 0 25  0]
39,76.57714749331467,1,[ 0 25  0]
29,125.38092792918052,0,[10  0  0]
50,25.092602889086656,2,[0 0 0]
47,36.69310856596212,2,[10  0  0]
46,24.42926201120288,2,[0 0 0]
23,134.83458981746952,0,[10  0  0]
36,74.40810103056177,1,[0 0 0]
47,32.10964897964929,2,[0 0 0]
46,25.274435867534798,2,[0 0 0]
19,124.14508077286823,0,[10  0  0]
30,112.79897150607933,0,[10  0  0]
21,116.91613454487965,0,[10  0  0]
39,26.95678931820745,2,[0 0 0]
36,77.3103605453178,1,[ 0 25  0]
21,123.88846724895278,0,[10  0  0]
35,72.5681886530283,1,[0 0 0]
32,118.77512939467316,0,[10  0  0]
51,35.83249278352227,2,[0 0 0]
23,130.10200678461513,0,[0 0 0]
18,119.15061003936077,0,[10  0  0]
26,132.5928824053826,0,[10  0  0]
51,33.14238315651201,2,[0 0 0]
40,22.606410208179838,2,[0 0 0]
39,33.087208618016255,2,[0 0 0]
26,128.34723994164372,0,[10  0  0]
54,41.39308650407336,2,[0 0 0]
23,128.95414932143458,0,[10  0  0]
22,123.16436512724927,0,[10  0  0]
33,120.33921329138855,0,[10  0  0]
27,124.55163606750841,0,[10  0  0]
29,119.76265795219213,0,[ 10   0 100]
34,74.15760141454665,1,[ 0 25  0]
20,128.96763264257942,0,[10  0  0]
42,30.86375892352534,2,[0 0 0]
33,62.714136934503806,2,[  0   0 100]
40,27.318511448609026,2,[  0   0 100]
33,73.9516406103937,1,[0 0 0]
22,122.38321301460918,0,[10  0  0]
26,129.59780422153395,0,[10  0  0]
34,77.11849688432518,1,[0 0 0]
31,75.93589550072168,1,[ 0 25  0]
47,24.89859584030856,2,[  0   0 100]
48,23.980024574508608,2,[0 0 0]
32,78.67898928794311,1,[ 0 25  0]
39,75.88719769930253,1,[0 0 0]
41,27.505512371388384,2,[ 0 25  0]
40,37.02986999061493,2,[0 0 0]
24,118.24309618775422,0,[10  0  0]
42,26.473053799390158,2,[  0   0 100]
23,120.84359465349014,0,[10  0  0]
43,28.50574992907451,2,[0 0 0]
37,74.48209428922674,1,[0 0 0]
22,125.5340270064485,0,[10  0  0]
46,27.062089031611436,2,[10  0  0]
30,120.74497223123689,0,[10  0  0]
34,73.7143573765093,1,[10 25  0]
52,45.0674653003355,2,[10  0  0]
36,72.12266990676979,1,[0 0 0]
49,27.111857286250952,2,[0 0 0]
43,25.822132461039264,2,[0 0 0]
26,123.44127563196724,0,[10  0  0]
52,30.916133923832888,2,[0 0 0]
36,77.21906959542628,1,[10 25  0]
52,37.585164529801354,2,[  0   0 100]
45,26.728554725939656,2,[0 0 0]
50,28.89267983496448,2,[0 0 0]
35,50.329766891210745,2,[  0   0 100]
29,126.76657065056581,0,[10  0  0]
36,72.95796785975402,1,[0 0 0]
19,121.59951462579005,0,[10  0  0]
26,116.63497230353481,0,[10  0  0]
34,72.71449435446732,1,[ 0 25  0]
53,39.10631817035091,2,[0 0 0]
40,31.565430247420103,2,[0 0 0]
42,38.902640961335706,2,[  0   0 100]
46,25.73421163071169,2,[  0   0 100]
40,29.481462094416692,2,[  0   0 100]
34,74.68049030075835,1,[ 0 25  0]
37,42.71398412974488,2,[ 0 25  0]
33,72.63689894008536,1,[ 0 25  0]
27,124.48122578738875,0,[10  0  0]
25,124.69302429685447,0,[10  0  0]
50,32.94264080511781,2,[0 0 0]
63,109.93577501748041,2,[0 0 0]
33,80.23470663229189,1,[0 0 0]
30,120.68614455348178,0,[10  0  0]
38,72.99357694668228,1,[  0   0 100]
49,22.071983254449698,2,[10  0  0]
48,26.706497266488665,2,[10  0  0]
34,79.93479442050685,1,[0 0 0]
35,79.19890965330656,1,[0 0 0]
38,37.18005190780879,2,[10  0  0]
22,121.01979316343647,0,[10  0  0]
43,22.459214223567628,2,[0 0 0]
36,75.33947756372682,1,[10 25  0]
28,122.94151778290427,0,[10  0  0]
34,73.87066177908575,1,[ 0 25  0]
23,125.76673908723377,0,[10  0  0]
24,129.30286100390208,0,[10  0  0]
36,75.98157069499902,1,[0 0 0]
31,110.55580971195718,0,[ 10  25 100]
52,38.68841846840018,2,[0 0 0]
46,17.069210430476257,2,[  0   0 100]
37,71.95024252974939,1,[0 0 0]
45,30.61152871503789,2,[  0   0 100]
22,122.14036479500481,0,[10  0  0]
36,76.91925433080014,1,[ 0 25  0]
53,46.29470956507769,2,[10  0  0]
27,123.95574647278751,0,[10  0  0]
24,127.21642063786067,0,[10 25  0]
21,118.98447493695649,0,[10  0  0]
33,74.99843778783124,1,[ 0 25  0]
48,18.720722256529925,2,[0 0 0]
47,26.129282456485388,2,[0 0 0]
30,126.25259162125137,0,[10  0  0]
35,79.39332224875325,1,[0 0 0]
46,30.29209471010532,2,[  0   0 100]
32,68.0471064737899,1,[ 0 25  0]
32,115.71395584612344,0,[10  0  0]
35,73.84242695702906,1,[0 0 0]
32,69.20577535385124,1,[10  0  0]
23,122.45935929009589,0,[10  0  0]
51,28.591900133273953,2,[  0  25 100]
32,119.13957495823917,0,[10  0  0]
21,120.57971728061081,0,[10 25  0]
37,72.37019064373763,1,[10  0  0]
55,54.92036825802349,2,[0 0 0]
51,35.577734814559946,2,[ 0 25  0]
46,23.67553404222225,2,[  0   0 100]
32,77.53168663404907,1,[0 0 0]
36,80.03081269950718,1,[0 0 0]
34,68.6250779887348,1,[ 0 25  0]
44,19.380338074780873,2,[0 0 0]
33,74.19984868932401,1,[0 0 0]
41,27.994892295957637,2,[10 25  0]
27,123.38435788769206,0,[10  0  0]
25,124.43089559033638,0,[10  0  0]
35,80.90303163733107,1,[0 0 0]
34,112.99345428667819,0,[10  0  0]
29,121.87789513052658,0,[10  0  0]
38,76.09098547168549,1,[ 0 25  0]
54,44.33075076142603,2,[0 0 0]
41,25.864294578708428,2,[0 0 0]
31,121.27656754854081,0,[10  0  0]
34,71.57296726262359,1,[0 0 0]
29,120.99891432058938,0,[10  0  0]
41,30.504187975872043,2,[0 0 0]
30,121.2289767186617,0,[10  0  0]
45,23.94868791705489,2,[0 0 0]
30,122.99285895001837,0,[10  0  0]
34,75.91704011513892,1,[0 0 0]
37,75.37954828420982,1,[  0  25 100]
42,36.018069560739185,2,[0 0 0]
46,17.850332895376354,2,[0 0 0]
37,111.71308513319751,0,[10  0  0]
36,76.16603568065672,1,[ 0 25  0]
28,122.44805955778621,0,[10  0  0]
35,123.28240828635286,0,[10  0  0]
32,71.39808825534539,1,[10  0  0]
27,120.45696011718842,0,[10  0  0]
41,25.08446561587749,2,[  0   0 100]
21,126.75460151823486,0,[10  0  0]
40,38.4017111471681,2,[  0   0 100]
55,51.95871281485113,2,[0 0 0]
38,34.342003944244155,2,[0 0 0]
22,161.04523458943464,2,[0 0 0]
43,26.21856876563507,2,[0 0 0]
38,74.80953409406584,1,[0 0 0]
34,71.19727773718401,1,[10 25  0]
27,123.58686305767567,0,[10  0  0]
39,38.44280264992475,2,[0 0 0]
38,69.51309366698226,1,[  0   0 100]
35,80.31969851789219,1,[0 0 0]
34,74.77206307684791,1,[ 0 25  0]
49,30.08466197694255,2,[  0   0 100]
37,80.69299339936723,1,[ 0 25  0]
22,122.34356191109788,0,[10  0  0]
38,74.31928852985942,1,[0 0 0]
36,70.55462066613258,1,[ 10   0 100]
35,72.28402280326692,1,[0 0 0]
34,57.15094833722363,2,[10  0  0]
29,121.52139739278287,0,[10  0  0]
50,29.698186383843655,2,[  0   0 100]
28,74.70365662207914,1,[ 0 25  0]
50,25.768277655057833,2,[0 0 0]
52,30.701263059254046,2,[0 0 0]
53,41.50283601177007,2,[ 10   0 100]
20,123.35289227623494,0,[10  0  0]
49,28.247248378766603,2,[  0   0 100]
32,72.38821629955086,1,[0 0 0]
19,125.51186647337697,0,[0 0 0]
34,70.33589448969292,1,[ 0 25  0]
41,30.548358047437368,2,[  0   0 100]
22,127.97145180792192,0,[0 0 0]
32,73.7267620315682,1,[0 0 0]
